pattern_id	join_pattern	n_tables	n_queries	sec_seq	none_seq	additional_at_least_seq	sec_postfilter	none_postfilter	additional_at_least_postfilter	sec_tree_batch_cext	sec_hybrid	switch_to_hybrid	sec_seq_parallel	none_seq_parallel	additional_at_least_seq_parallel	sec_postfilter_parallel	none_postfilter_parallel	additional_at_least_postfilter_parallel	sec_tree_batch_cext_parallel
27	(('b.userid', '=', 'u.id'), ('p.id', '=', 'pl.relatedpostid'), ('p.owneruserid', '=', 'u.id'))	4	2	0.093846	0	0.0	0.102904	0	0.0	0.705523	0.184899	PostFilter	0.110122	0	0.0	0.15065	0	0.0	0.937346
28	(('p.id', '=', 'ph.postid'), ('p.id', '=', 'v.postid'), ('p.owneruserid', '=', 'u.id'))	4	3	0.9692860000000001	0	0.0	0.628736	0	0.0	2.946449	2.628884	TreeBatchCext	0.600136	0	0.0	0.496436	0	0.0	3.64003
29	(('b.userid', '=', 'ph.userid'), ('p.owneruserid', '=', 'ph.userid'), ('p.owneruserid', '=', 'u.id'))	4	2	1.8988429999999998	0	0.0	2651.875365	0	0.0	0.854035	0.915148	TreeBatchCext	1.1212339999999998	0	0.0	1852.954304	0	0.0	1.166734
30	(('b.userid', '=', 'u.id'), ('ph.userid', '=', 'u.id'), ('u.id', '=', 'v.userid'))	4	4	352.35164799999995	0	0.0	535.825598	0	0.0	0.759501	0.931331	TreeBatchCext	182.462859	0	0.0	386.26254	0	0.0	0.983733
31	(('c.postid', '=', 'p.id'), ('p.id', '=', 'ph.postid'), ('p.id', '=', 'pl.postid'), ('p.id', '=', 'v.postid'))	5	8	3.0230960000000007	0	0.0	1.168085	0	0.0	1.739315	1.811803	TreeBatchCext	2.033273	0	0.0	0.915494	0	0.0	2.056642
32	(('c.userid', '=', 'p.owneruserid'), ('c.userid', '=', 'u.id'), ('p.owneruserid', '=', 'ph.userid'), ('ph.userid', '=', 'v.userid'))	5	1	11.792463	0	0.0	None	1	3600.0	0.284217	0.373278	TreeBatchCext	4.121252	0	0.0	None	1	3600.0	0.328079
33	(('b.userid', '=', 'ph.userid'), ('b.userid', '=', 'u.id'), ('c.userid', '=', 'v.userid'), ('ph.userid', '=', 'v.userid'))	5	1	4.011065	0	0.0	None	1	3600.0	0.267142	0.317102	TreeBatchCext	0.055545	0	0.0	None	1	3600.0	0.358661
34	(('b.userid', '=', 'v.userid'), ('c.userid', '=', 'p.owneruserid'), ('c.userid', '=', 'u.id'), ('p.owneruserid', '=', 'v.userid'))	5	2	4.798387	0	0.0	None	2	3600.0	0.380938	0.549394	TreeBatchCext	1.627825	0	0.0	None	2	3600.0	0.516883
35	(('b.userid', '=', 'u.id'), ('c.userid', '=', 'u.id'), ('p.owneruserid', '=', 'u.id'), ('ph.userid', '=', 'u.id'))	5	5	376.745798	0	0.0	None	5	3600.0	1.190384	1.249385	TreeBatchCext	207.06451500000003	0	0.0	None	5	3600.0	1.542169
36	(('b.userid', '=', 'u.id'), ('c.postid', '=', 'p.id'), ('p.id', '=', 'pl.relatedpostid'), ('p.owneruserid', '=', 'u.id'))	5	3	0.444866	0	0.0	0.281633	0	0.0	1.119129	1.180796	TreeBatchCext	0.457948	0	0.0	0.236843	0	0.0	1.368428
